,support,itemsets
128,0.023,"frozenset({'ItalAtlas', 'ItalCook', 'CookBks'})"
129,0.0375,"frozenset({'ItalArt', 'ItalCook', 'CookBks'})"
130,0.0535,"frozenset({'RefBks', 'DoItYBks', 'ArtBks'})"
131,0.0585,"frozenset({'RefBks', 'DoItYBks', 'GeogBks'})"
132,0.025,"frozenset({'RefBks', 'DoItYBks', 'ItalCook'})"
133,0.073,"frozenset({'DoItYBks', 'ArtBks', 'GeogBks'})"
134,0.0365,"frozenset({'DoItYBks', 'ArtBks', 'ItalCook'})"
135,0.03,"frozenset({'ItalArt', 'DoItYBks', 'ArtBks'})"
136,0.0245,"frozenset({'ArtBks', 'DoItYBks', 'Florence'})"
137,0.0345,"frozenset({'DoItYBks', 'GeogBks', 'ItalCook'})"
138,0.025,"frozenset({'ItalArt', 'DoItYBks', 'ItalCook'})"
139,0.0565,"frozenset({'RefBks', 'ArtBks', 'GeogBks'})"
140,0.0235,"frozenset({'RefBks', 'ArtBks', 'ItalCook'})"
141,0.02,"frozenset({'ItalArt', 'RefBks', 'ArtBks'})"
142,0.02,"frozenset({'ArtBks', 'RefBks', 'Florence'})"
143,0.029,"frozenset({'RefBks', 'GeogBks', 'ItalCook'})"
144,0.0205,"frozenset({'RefBks', 'ItalAtlas', 'GeogBks'})"
145,0.023,"frozenset({'RefBks', 'ItalAtlas', 'ItalCook'})"
146,0.036,"frozenset({'ArtBks', 'GeogBks', 'ItalCook'})"
147,0.0295,"frozenset({'ItalArt', 'ArtBks', 'GeogBks'})"
148,0.03,"frozenset({'ArtBks', 'Florence', 'GeogBks'})"
149,0.0375,"frozenset({'ItalArt', 'ArtBks', 'ItalCook'})"
150,0.024,"frozenset({'ItalArt', 'GeogBks', 'ItalCook'})"
151,0.082,"frozenset({'ChildBks', 'DoItYBks', 'CookBks', 'YouthBks'})"
152,0.068,"frozenset({'RefBks', 'ChildBks', 'CookBks', 'YouthBks'})"
153,0.067,"frozenset({'ArtBks', 'ChildBks', 'CookBks', 'YouthBks'})"
154,0.083,"frozenset({'ChildBks', 'CookBks', 'GeogBks', 'YouthBks'})"
155,0.046,"frozenset({'ChildBks', 'CookBks', 'ItalCook', 'YouthBks'})"
156,0.053,"frozenset({'RefBks', 'ChildBks', 'DoItYBks', 'YouthBks'})"
157,0.051,"frozenset({'ChildBks', 'DoItYBks', 'ArtBks', 'YouthBks'})"
158,0.0565,"frozenset({'ChildBks', 'DoItYBks', 'GeogBks', 'YouthBks'})"
159,0.0245,"frozenset({'ChildBks', 'DoItYBks', 'ItalCook', 'YouthBks'})"
160,0.0425,"frozenset({'RefBks', 'ChildBks', 'ArtBks', 'YouthBks'})"
161,0.0515,"frozenset({'RefBks', 'ChildBks', 'GeogBks', 'YouthBks'})"
162,0.0245,"frozenset({'RefBks', 'ChildBks', 'ItalCook', 'YouthBks'})"
163,0.055,"frozenset({'ChildBks', 'ArtBks', 'GeogBks', 'YouthBks'})"
164,0.0255,"frozenset({'ChildBks', 'ArtBks', 'ItalCook', 'YouthBks'})"
165,0.03,"frozenset({'ChildBks', 'GeogBks', 'ItalCook', 'YouthBks'})"
166,0.0745,"frozenset({'RefBks', 'ChildBks', 'DoItYBks', 'CookBks'})"
167,0.082,"frozenset({'ChildBks', 'DoItYBks', 'ArtBks', 'CookBks'})"
168,0.089,"frozenset({'ChildBks', 'DoItYBks', 'GeogBks', 'CookBks'})"
169,0.046,"frozenset({'ChildBks', 'DoItYBks', 'ItalCook', 'CookBks'})"
170,0.02,"frozenset({'ItalArt', 'ChildBks', 'DoItYBks', 'CookBks'})"
171,0.061,"frozenset({'RefBks', 'ChildBks', 'ArtBks', 'CookBks'})"
172,0.0785,"frozenset({'RefBks', 'ChildBks', 'GeogBks', 'CookBks'})"
173,0.0415,"frozenset({'RefBks', 'ChildBks', 'ItalCook', 'CookBks'})"
174,0.0225,"frozenset({'RefBks', 'ChildBks', 'ItalAtlas', 'CookBks'})"
175,0.0835,"frozenset({'ChildBks', 'ArtBks', 'GeogBks', 'CookBks'})"
176,0.0455,"frozenset({'ChildBks', 'ArtBks', 'ItalCook', 'CookBks'})"
177,0.03,"frozenset({'ItalArt', 'ChildBks', 'ArtBks', 'CookBks'})"
178,0.025,"frozenset({'ArtBks', 'ChildBks', 'Florence', 'CookBks'})"
179,0.0525,"frozenset({'ChildBks', 'GeogBks', 'ItalCook', 'CookBks'})"
180,0.0245,"frozenset({'ChildBks', 'Florence', 'GeogBks', 'CookBks'})"
181,0.02,"frozenset({'ChildBks', 'ItalAtlas', 'ItalCook', 'CookBks'})"
182,0.0285,"frozenset({'ItalArt', 'ChildBks', 'ItalCook', 'CookBks'})"
183,0.046,"frozenset({'RefBks', 'ChildBks', 'DoItYBks', 'ArtBks'})"
184,0.0525,"frozenset({'RefBks', 'ChildBks', 'DoItYBks', 'GeogBks'})"
185,0.0225,"frozenset({'RefBks', 'ChildBks', 'DoItYBks', 'ItalCook'})"
186,0.0595,"frozenset({'ChildBks', 'DoItYBks', 'ArtBks', 'GeogBks'})"
187,0.0285,"frozenset({'ChildBks', 'DoItYBks', 'ArtBks', 'ItalCook'})"
188,0.022,"frozenset({'ItalArt', 'ChildBks', 'DoItYBks', 'ArtBks'})"
189,0.027,"frozenset({'ChildBks', 'DoItYBks', 'GeogBks', 'ItalCook'})"
190,0.0495,"frozenset({'RefBks', 'ChildBks', 'ArtBks', 'GeogBks'})"
191,0.022,"frozenset({'RefBks', 'ChildBks', 'ArtBks', 'ItalCook'})"
192,0.027,"frozenset({'RefBks', 'ChildBks', 'GeogBks', 'ItalCook'})"
193,0.02,"frozenset({'RefBks', 'ChildBks', 'ItalAtlas', 'ItalCook'})"
194,0.03,"frozenset({'ChildBks', 'ArtBks', 'GeogBks', 'ItalCook'})"
195,0.023,"frozenset({'ItalArt', 'ChildBks', 'ArtBks', 'GeogBks'})"
196,0.023,"frozenset({'ArtBks', 'ChildBks', 'Florence', 'GeogBks'})"
197,0.0285,"frozenset({'ItalArt', 'ChildBks', 'ArtBks', 'ItalCook'})"
198,0.0485,"frozenset({'RefBks', 'DoItYBks', 'CookBks', 'YouthBks'})"
199,0.0525,"frozenset({'ArtBks', 'DoItYBks', 'CookBks', 'YouthBks'})"
200,0.06,"frozenset({'DoItYBks', 'CookBks', 'GeogBks', 'YouthBks'})"
201,0.031,"frozenset({'DoItYBks', 'CookBks', 'ItalCook', 'YouthBks'})"
202,0.0395,"frozenset({'ArtBks', 'RefBks', 'CookBks', 'YouthBks'})"
203,0.048,"frozenset({'RefBks', 'CookBks', 'GeogBks', 'YouthBks'})"
